	antennas	IF	DRArr	DLArr
0	BR	1	(-0.0052385912830906324+0.01083337818070727j)	(0.015301203010057695-0.003266545064811095j)
1	FD	1	(0.029939759108228475-0.010894511288532789j)	(-0.02877979427675328-0.011186437255996318j)
2	HN	1	(0.024819142235280797-0.009705855647913606j)	(-0.061397467217156276-0.0041358691000451305j)
3	KP	1	(0.03520264579652492+0.01638826609964656j)	(-0.0195366605656549+0.04290875605630264j)
4	LA	1	(0.0437163816805064-0.010783272909663317j)	(-0.035801470081541976-0.04885138231017303j)
5	MK	1	(-0.0011896775738518093-0.01994499343976209j)	(-0.030994861612740347+0.0022960477522226846j)
6	NL	1	(0.04467905334165777-0.00014910766592821025j)	(-0.03366655938525948-0.057368706042216173j)
7	OV	1	(0.03699003023956493-0.047968748556658544j)	(-0.01770531831405485+0.005626571030172128j)
8	PT	1	(0.03448384490189188-0.008108136595632639j)	(-0.09287945670483294-0.018132066039254522j)
9	SC	1	(0.02451960295383346+0.0315958821537262j)	(-0.01457930109206302+0.03488892239631022j)
