	antennas	IF	scan	scantime	scansource	DRArr	DLArr
0	BR	1	1	19.21666717529297	3C279	0j	0j
1	FD	1	1	19.21666717529297	3C279	(7.677902428842195e-05+6.942777019061277e-05j)	(0.00026139488188390734+1.1894675800705439e-05j)
2	HN	1	1	19.21666717529297	3C279	0j	0j
3	KP	1	1	19.21666717529297	3C279	0j	0j
4	LA	1	1	19.21666717529297	3C279	0j	0j
5	MK	1	1	19.21666717529297	3C279	(-8.836802704327291e-05-0.00014986012710129203j)	(0.0004491023705798254+0.0005617966084105404j)
6	NL	1	1	19.21666717529297	3C279	0j	0j
7	OV	1	1	19.21666717529297	3C279	0j	0j
8	PT	1	1	19.21666717529297	3C279	0j	0j
9	SC	1	1	19.21666717529297	3C279	0j	0j
10	SC	1	2	19.54305648803711	1633+382	0j	0j
11	PT	1	2	19.54305648803711	1633+382	0j	0j
12	OV	1	2	19.54305648803711	1633+382	0j	0j
13	MK	1	2	19.54305648803711	1633+382	0j	0j
14	NL	1	2	19.54305648803711	1633+382	(-9.256286585646774e-05-5.477912082696094e-05j)	(-0.00011149510529023153+5.774814154413503e-05j)
15	KP	1	2	19.54305648803711	1633+382	0j	0j
16	HN	1	2	19.54305648803711	1633+382	0j	0j
17	FD	1	2	19.54305648803711	1633+382	0j	0j
18	BR	1	2	19.54305648803711	1633+382	(-9.063741872327435e-05-3.3484742978709934e-05j)	(-3.399376504537784e-06+0.00022004723868299683j)
19	LA	1	2	19.54305648803711	1633+382	0j	0j
20	SC	1	3	19.601388931274414	3C345	0j	0j
21	PT	1	3	19.601388931274414	3C345	0j	0j
22	OV	1	3	19.601388931274414	3C345	0j	0j
23	NL	1	3	19.601388931274414	3C345	0j	0j
24	MK	1	3	19.601388931274414	3C345	0j	0j
25	LA	1	3	19.601388931274414	3C345	(-4.2041073737203524e-05-1.2051959871938972e-05j)	(-5.527469702784499e-05-2.0796903089501918e-05j)
26	HN	1	3	19.601388931274414	3C345	0j	0j
27	FD	1	3	19.601388931274414	3C345	0j	0j
28	BR	1	3	19.601388931274414	3C345	(-5.734885499811198e-06+3.9453239954174724e-05j)	(6.267826837250468e-05+7.94676200669287e-06j)
29	KP	1	3	19.601388931274414	3C345	0j	0j
30	OV	1	4	20.125	1633+382	(0.0002839802565042069+0.00015160550375090955j)	(-9.989093463485061e-06+0.00010904830206131176j)
31	SC	1	4	20.125	1633+382	0j	0j
32	PT	1	4	20.125	1633+382	0j	0j
33	MK	1	4	20.125	1633+382	0j	0j
34	NL	1	4	20.125	1633+382	0j	0j
35	KP	1	4	20.125	1633+382	0j	0j
36	BR	1	4	20.125	1633+382	0j	0j
37	FD	1	4	20.125	1633+382	0j	0j
38	LA	1	4	20.125	1633+382	0j	0j
39	HN	1	4	20.125	1633+382	(6.30211473915631e-06-0.00010764141306390236j)	(4.60353556253324e-05+5.7099306294716346e-05j)
40	BR	1	5	20.18194580078125	3C345	0j	0j
41	FD	1	5	20.18194580078125	3C345	0j	0j
42	HN	1	5	20.18194580078125	3C345	0j	0j
43	KP	1	5	20.18194580078125	3C345	(-7.608142506369554e-05-1.07050700435814e-05j)	(-2.31413042403297e-05-1.4448656595277641e-05j)
44	MK	1	5	20.18194580078125	3C345	0j	0j
45	NL	1	5	20.18194580078125	3C345	0j	0j
46	OV	1	5	20.18194580078125	3C345	0j	0j
47	PT	1	5	20.18194580078125	3C345	0j	0j
48	SC	1	5	20.18194580078125	3C345	0j	0j
49	LA	1	5	20.18194580078125	3C345	(-4.0450879477038126e-05-1.5400953159755942e-05j)	(-3.813993688511266e-05+8.002013594628184e-06j)
50	SC	1	6	20.71527862548828	1633+382	0j	0j
51	MK	1	6	20.71527862548828	1633+382	0j	0j
52	PT	1	6	20.71527862548828	1633+382	0j	0j
53	OV	1	6	20.71527862548828	1633+382	0j	0j
54	NL	1	6	20.71527862548828	1633+382	0j	0j
55	LA	1	6	20.71527862548828	1633+382	(4.590192474717019e-06-6.398837074458718e-05j)	(6.679430524451323e-05+2.973709522391298e-05j)
56	HN	1	6	20.71527862548828	1633+382	(-7.97411957469976e-06-4.9395893358896195e-05j)	(0.00013279674639972083+4.64431041798085e-05j)
57	FD	1	6	20.71527862548828	1633+382	0j	0j
58	BR	1	6	20.71527862548828	1633+382	0j	0j
59	KP	1	6	20.71527862548828	1633+382	0j	0j
60	SC	1	7	20.76388931274414	3C345	0j	0j
61	PT	1	7	20.76388931274414	3C345	0j	0j
62	OV	1	7	20.76388931274414	3C345	(-7.262930625050937e-05-3.097792130275003e-05j)	(-4.6354590691131435e-05+2.992358102755302e-07j)
63	NL	1	7	20.76388931274414	3C345	0j	0j
64	MK	1	7	20.76388931274414	3C345	0j	0j
65	LA	1	7	20.76388931274414	3C345	0j	0j
66	HN	1	7	20.76388931274414	3C345	0j	0j
67	FD	1	7	20.76388931274414	3C345	0j	0j
68	BR	1	7	20.76388931274414	3C345	0j	0j
69	KP	1	7	20.76388931274414	3C345	(-8.041633249334008e-05-5.736035542642344e-06j)	(-2.5967099486104695e-05-2.023897901457115e-05j)
70	OV	1	8	21.26388931274414	1633+382	0j	0j
71	SC	1	8	21.26388931274414	1633+382	(-0.00010489221629531618-6.864861727112988e-06j)	(4.7221508984053696e-05+5.421078015531146e-05j)
72	PT	1	8	21.26388931274414	1633+382	0j	0j
73	MK	1	8	21.26388931274414	1633+382	0j	0j
74	NL	1	8	21.26388931274414	1633+382	0j	0j
75	KP	1	8	21.26388931274414	1633+382	(-5.678423177356641e-05+9.160766824125443e-06j)	(4.1466539762236804e-05-7.662190809680749e-05j)
76	BR	1	8	21.26388931274414	1633+382	0j	0j
77	FD	1	8	21.26388931274414	1633+382	0j	0j
78	LA	1	8	21.26388931274414	1633+382	0j	0j
79	HN	1	8	21.26388931274414	1633+382	0j	0j
80	BR	1	9	21.3125	3C345	0j	0j
81	FD	1	9	21.3125	3C345	0j	0j
82	HN	1	9	21.3125	3C345	0j	0j
83	KP	1	9	21.3125	3C345	0j	0j
84	LA	1	9	21.3125	3C345	(-5.9740819711634806e-05-3.0145516697932067e-05j)	(-5.279827570104806e-05+3.576890194623365e-05j)
85	MK	1	9	21.3125	3C345	0j	0j
86	NL	1	9	21.3125	3C345	(3.955787956524036e-05-7.712233803193042e-05j)	(5.3604393491227026e-05+6.727388082001043e-05j)
87	OV	1	9	21.3125	3C345	0j	0j
88	PT	1	9	21.3125	3C345	0j	0j
89	SC	1	9	21.3125	3C345	0j	0j
90	NL	1	10	21.794443130493164	1633+382	0j	0j
91	SC	1	10	21.794443130493164	1633+382	0j	0j
92	PT	1	10	21.794443130493164	1633+382	0j	0j
93	OV	1	10	21.794443130493164	1633+382	0j	0j
94	MK	1	10	21.794443130493164	1633+382	0j	0j
95	LA	1	10	21.794443130493164	1633+382	0j	0j
96	KP	1	10	21.794443130493164	1633+382	0j	0j
97	HN	1	10	21.794443130493164	1633+382	(0.00011021737163219974+9.174600792235522e-05j)	(-8.992501461868589e-05+0.00025469431451670177j)
98	FD	1	10	21.794443130493164	1633+382	0j	0j
99	BR	1	10	21.794443130493164	1633+382	(-8.113459729099737e-05-3.579617466219535e-05j)	(-3.136921398453931e-05-3.9777499135260734e-05j)
100	SC	1	11	21.844444274902344	3C345	(-3.537446535897924e-05+1.9523720022123852e-05j)	(-5.712854090629982e-05+5.2343573435107446e-05j)
101	PT	1	11	21.844444274902344	3C345	0j	0j
102	OV	1	11	21.844444274902344	3C345	0j	0j
