	antennas	IF	scan	scantime	scansource	DRArr	DLArr
0	BR	1	1	19.21666717529297	3C279	0j	0j
1	FD	1	1	19.21666717529297	3C279	(1.8128977634752697e-05-4.1888180804687184e-07j)	(2.9404764688921364e-05+9.029606901866519e-07j)
2	HN	1	1	19.21666717529297	3C279	0j	0j
3	KP	1	1	19.21666717529297	3C279	0j	0j
4	LA	1	1	19.21666717529297	3C279	0j	0j
5	MK	1	1	19.21666717529297	3C279	(3.511427770040637e-07-3.625294244229045e-05j)	(1.2266948122491302e-05+1.0947461990666548e-05j)
6	NL	1	1	19.21666717529297	3C279	0j	0j
7	OV	1	1	19.21666717529297	3C279	0j	0j
8	PT	1	1	19.21666717529297	3C279	0j	0j
9	SC	1	1	19.21666717529297	3C279	0j	0j
10	BR	1	2	19.54305648803711	1633+382	(-5.493953695705579e-06-4.440271030802985e-06j)	(2.757177196374497e-06+2.6972267178490307e-06j)
11	FD	1	2	19.54305648803711	1633+382	0j	0j
12	HN	1	2	19.54305648803711	1633+382	0j	0j
13	KP	1	2	19.54305648803711	1633+382	0j	0j
14	LA	1	2	19.54305648803711	1633+382	0j	0j
15	MK	1	2	19.54305648803711	1633+382	0j	0j
16	NL	1	2	19.54305648803711	1633+382	(-1.749018486086038e-06-1.715170927104389e-05j)	(5.527782322799597e-06+3.6238746783386387e-06j)
17	OV	1	2	19.54305648803711	1633+382	0j	0j
18	PT	1	2	19.54305648803711	1633+382	0j	0j
19	SC	1	2	19.54305648803711	1633+382	0j	0j
20	BR	1	3	19.601388931274414	3C345	(1.3074076471732418e-05+2.3996786838487805e-07j)	(4.084441299336544e-06-1.9914593601077446e-06j)
21	FD	1	3	19.601388931274414	3C345	0j	0j
22	HN	1	3	19.601388931274414	3C345	0j	0j
23	KP	1	3	19.601388931274414	3C345	0j	0j
24	LA	1	3	19.601388931274414	3C345	(6.366771212195064e-07-6.22535124048794e-06j)	(-9.668038746390928e-07+3.370329959439883e-06j)
25	MK	1	3	19.601388931274414	3C345	0j	0j
26	NL	1	3	19.601388931274414	3C345	0j	0j
27	OV	1	3	19.601388931274414	3C345	0j	0j
28	PT	1	3	19.601388931274414	3C345	0j	0j
29	SC	1	3	19.601388931274414	3C345	0j	0j
30	BR	1	4	20.125	1633+382	0j	0j
31	FD	1	4	20.125	1633+382	0j	0j
32	HN	1	4	20.125	1633+382	(7.5159378081577474e-06-1.416892827513273e-05j)	(4.29030801428021e-06+3.284261169612844e-06j)
33	KP	1	4	20.125	1633+382	0j	0j
34	LA	1	4	20.125	1633+382	0j	0j
35	MK	1	4	20.125	1633+382	0j	0j
36	NL	1	4	20.125	1633+382	0j	0j
37	OV	1	4	20.125	1633+382	(5.552501316091188e-06+2.1700444269484757e-06j)	(-3.303512612224667e-06-3.452793371855114e-08j)
38	PT	1	4	20.125	1633+382	0j	0j
39	SC	1	4	20.125	1633+382	0j	0j
40	BR	1	5	20.18194580078125	3C345	0j	0j
41	FD	1	5	20.18194580078125	3C345	0j	0j
42	HN	1	5	20.18194580078125	3C345	0j	0j
43	KP	1	5	20.18194580078125	3C345	(-1.0332596452755972e-05-2.8122710120691188e-06j)	(5.084197779535637e-06-4.2152284163220365e-06j)
44	LA	1	5	20.18194580078125	3C345	(-2.5202937137098456e-07-8.273759208429397e-06j)	(5.562884351535576e-06+9.480503224803052e-06j)
45	MK	1	5	20.18194580078125	3C345	0j	0j
46	NL	1	5	20.18194580078125	3C345	0j	0j
47	OV	1	5	20.18194580078125	3C345	0j	0j
48	PT	1	5	20.18194580078125	3C345	0j	0j
49	SC	1	5	20.18194580078125	3C345	0j	0j
50	BR	1	6	20.71527862548828	1633+382	0j	0j
51	FD	1	6	20.71527862548828	1633+382	0j	0j
