	antennas	IF	DRArr	DLArr
0	BR	1	(-0.022501359676670975-0.03181983300541382j)	(0.026447887770648864+0.025045007391245096j)
1	FD	1	(-0.01200416702830813-0.04380694241682346j)	(0.001801812371407626-0.0161560435234764j)
2	HN	1	(-0.03482374642302772+0.05502142810367985j)	(0.015922846769269798-0.000676823096789889j)
3	KP	1	(-0.026566947943489475-0.02163328066380094j)	(0.029585084170377373+0.0011834378794968628j)
4	LA	1	(-0.018530676179849666-0.002167179822586429j)	(0.015780892793328078-8.170676679177323e-05j)
5	MK	1	(-0.005080099503701327-0.02381208413920711j)	(0.026907284736951035+0.0449361910031739j)
6	NL	1	(-0.028805285627368504-0.022890240439426855j)	(0.012874980693822816-0.016599687403878627j)
7	OV	1	(0.003478247292311199+0.0003903304497460343j)	(0.029998611736753677+0.001817979675675887j)
8	PT	1	(-0.03729180761263486+0.03056078503044274j)	(-0.03343628741141466+0.00495375236696278j)
9	SC	1	(0.005653247128282475-0.022317526671380327j)	(-0.007615745274532126-0.02256818889585412j)
10	BR	2	(-0.018538095379466556-0.0159477595522358j)	(0.01789782911566707+0.018525198129699466j)
11	FD	2	(-0.018168146395705815-0.03004627104273054j)	(0.013389301313590778-0.013667277271073907j)
12	HN	2	(-0.013876701712105258+0.052921031812616266j)	(0.013643640781324096+0.01020186042058641j)
13	KP	2	(-0.023188600822615906-0.013896644977581436j)	(0.023244559036140786-0.00784661533426533j)
14	LA	2	(-0.012527789257124259-0.0024989765472137803j)	(0.01692622629238659+0.010918347949726665j)
15	MK	2	(-0.007555354269633176-0.015784796128061895j)	(0.02950197331069631+0.041783362250568674j)
16	NL	2	(-0.02748502005598363-0.02011861886943053j)	(0.012825440819496254-0.012184316494223146j)
17	OV	2	(0.0061685615529909945+0.010875141450557879j)	(0.02190883845336473+0.005710211339212987j)
18	PT	2	(-0.013517922008180357+0.03925607405875729j)	(-0.009482359206799622+0.012858578296517173j)
19	SC	2	(0.018490675116562025-0.023577112288197935j)	(-0.011969158791803472-0.029017997563529206j)
20	BR	3	(-0.009103346170795229-0.013332933219719723j)	(0.0162648464960255+0.007783356374854725j)
21	FD	3	(-0.01125192818035117-0.029634125552351284j)	(0.003316684846874021-0.01982158221611676j)
22	HN	3	(-0.011052635445040837+0.05480194069213674j)	(0.00953163445288464+0.007538950757058544j)
23	KP	3	(-0.019193128972151884-0.014608475921881876j)	(0.014057780636214098-0.009898296489326565j)
24	LA	3	(-0.007962308213104745-0.0017502554247132074j)	(0.013652851599873674+0.0070908186769357544j)
25	MK	3	(-0.0004989348414178741-0.009894380478478812j)	(0.036925014553196994+0.032639227690779475j)
26	NL	3	(-0.026076076384816217-0.018464756117078374j)	(0.007890114898345046-0.01591551884666674j)
27	OV	3	(0.02639288641553255+0.011527265641890227j)	(0.025362708307384775+0.003535535644596781j)
28	PT	3	(-0.014748800644727434+0.039737880392165706j)	(-0.00908108124209237+0.007050168037810627j)
29	SC	3	(0.03230164143864302-0.02665435520630721j)	(-0.02115673469803326-0.02861699319092207j)
30	BR	4	(-0.0038081733801638685-0.007620881107108932j)	(0.00905455098420948-0.003778091270716551j)
31	FD	4	(-0.01239572089300718-0.023106225219285768j)	(-0.0109404398137334-0.004235677121758322j)
32	HN	4	(-0.0018557501340884916+0.059081991288692064j)	(-0.0005749277268886849+0.012472491139120028j)
33	KP	4	(-0.019898026165331935-0.00815569831910267j)	(0.006085047474288181-0.010511203612110753j)
34	LA	4	(0.002694024655410292+0.003979442593529301j)	(0.0066685435587564455+0.013801552434972032j)
35	MK	4	(0.011554685660274167-0.006257406852039103j)	(0.035634144623469845+0.026910341136406984j)
36	NL	4	(-0.017424712512914477-0.011290700688756268j)	(-0.006786688804019999-0.016506918877331255j)
37	OV	4	(0.042177881803432925-0.002612917299722646j)	(0.02507927754839327-0.006768709644777609j)
38	PT	4	(-0.006453641404491916+0.056533467161739556j)	(-0.01958245579678285+0.023888533184806954j)
39	SC	4	(0.038874906053928196-0.02471839295909035j)	(-0.026746474939225-0.022792271513616843j)
40	BR	5	(0.0032718487878636133+0.0018478030712870508j)	(-0.004487067356177733-0.017925488518236114j)
41	FD	5	(-0.006766937694533438-0.0014395507060824136j)	(-0.011610905446475635+0.012069839571785783j)
