	antennas	IF	DRArr	DLArr
0	BR	1	(-0.024627131297555914-0.03055873934855599j)	(0.02874380797716089+0.027895870224504193j)
1	FD	1	(-0.014913603215442373-0.042417554917544696j)	(0.005381074804478738-0.015291300778877243j)
2	HN	1	(-0.036736935488344793+0.05480441081229029j)	(0.018262895622856816-0.0008956731674602423j)
3	KP	1	(-0.028741328682582036-0.02162975861963626j)	(0.032360850625313756+0.0011117459995807872j)
4	LA	1	(-0.02078016355710119-0.001786613011339026j)	(0.018477890547923915+0.00028700495247990657j)
5	MK	1	(-0.004876331554096497-0.02489833595430059j)	(0.026448805256806086+0.04236930179501867j)
6	NL	1	(-0.02812927602533379-0.020630484133765527j)	(0.01346163206126833-0.016779374884056265j)
7	OV	1	(0.0016876838512025767-0.00016791390839501186j)	(0.0321287950296381+0.002209066748261773j)
8	PT	1	(-0.0395378712414335+0.03135424052468881j)	(-0.030118117401529792+0.005824758042602173j)
9	SC	1	(-0.0008641107165969555-0.014546755565967339j)	(-0.0013278733973170352-0.017762639110116746j)
10	BR	2	(-0.02041703561506908-0.014095784147449403j)	(0.01973400133424977+0.021586651046888138j)
11	FD	2	(-0.020798988869558978-0.028529003844015473j)	(0.01690498669341463-0.012651478208330968j)
12	HN	2	(-0.0160348727201524+0.05309778132366295j)	(0.015937055907763415+0.010198701291265199j)
13	KP	2	(-0.025554436289768754-0.013537848415276997j)	(0.026144722802703222-0.007346099786040177j)
14	LA	2	(-0.01480297223552308-0.001625943104748682j)	(0.019597636474805533+0.01127337984878706j)
15	MK	2	(-0.0071892119942424315-0.01697945388130419j)	(0.02936642432070232+0.03928782039395087j)
16	NL	2	(-0.026958553578308182-0.01820151251607771j)	(0.013411055392264885-0.012370187592120871j)
17	OV	2	(0.004326573234317625+0.010620763459954805j)	(0.024258588405724184+0.006576423691837005j)
18	PT	2	(-0.015910122491110054+0.040265343876293436j)	(-0.006235722618902566+0.01388553998909827j)
19	SC	2	(0.012657018297740267-0.015294832112843987j)	(-0.005786309965540445-0.022326107633177775j)
20	BR	3	(-0.011010538990169997-0.011665636922886339j)	(0.01849579224108129+0.010994153067910142j)
21	FD	3	(-0.01414842192064266-0.028482364806839j)	(0.00650575420632114-0.01869844820336813j)
22	HN	3	(-0.01352629028275015+0.05430328157043393j)	(0.01155468997884549+0.007688543432301034j)
23	KP	3	(-0.02144224667222863-0.014283019017252076j)	(0.017040731819687693-0.009597797814760542j)
24	LA	3	(-0.010284031642339524-0.0010083231531596534j)	(0.016073454292378008+0.007424038373679378j)
25	MK	3	(-0.00027327491715597367-0.010531933994640412j)	(0.035775645068470335+0.03015865553208481j)
26	NL	3	(-0.02548876420680809-0.016518253034031153j)	(0.008169876352647477-0.01623706491242232j)
27	OV	3	(0.024831338240272+0.010962844956129886j)	(0.02778731889094018+0.003918783438417567j)
28	PT	3	(-0.017013915267814775+0.04082698438083961j)	(-0.0062570238089677994+0.007760067506845449j)
29	SC	3	(0.02566931287967575-0.018309559046675604j)	(-0.014931573261763259-0.022870004749937313j)
30	BR	4	(-0.0058103671039809405-0.006217978538986393j)	(0.011747948540330767-0.0008865926427020721j)
31	FD	4	(-0.015763561989834547-0.02197664108625026j)	(-0.007406141582181156-0.0033770807456284385j)
32	HN	4	(-0.004437522448373603+0.058680897832527265j)	(0.0015292428796878697+0.012544576291485606j)
33	KP	4	(-0.022475130898078424-0.008156689405089044j)	(0.009334401017701525-0.010756604049778644j)
34	LA	4	(0.00016981121736790814+0.004152183611001948j)	(0.009395822712287616+0.01411451603062907j)
35	MK	4	(0.012109599170708274-0.006810710904013474j)	(0.034522123337220975+0.02427440704270529j)
36	NL	4	(-0.017401065262028732-0.009230271627635166j)	(-0.006534087400671141-0.016620111926542107j)
37	OV	4	(0.04067368296871628-0.003179217558682338j)	(0.027735515378777192-0.006923577959212082j)
38	PT	4	(-0.008958329081406157+0.05720816663868102j)	(-0.016336935039050312+0.024996956519847895j)
39	SC	4	(0.031483285808424646-0.016906268449849732j)	(-0.01973774643358182-0.018283231012447613j)
40	BR	5	(0.002049343194238055+0.0036644907153636115j)	(-0.002610517085012877-0.014353625626575299j)
41	FD	5	(-0.009469080608803575+0.0005450819472946195j)	(-0.0082813894435971+0.014267383258480686j)
42	HN	5	(0.03497203870606477+0.05255684601999045j)	(-0.016731659585617228+0.016937198721322974j)
43	KP	5	(-0.008623250847994297+0.012763116553887864j)	(0.0023450719947884857-0.006744570790697085j)
44	LA	5	(0.019033707392820128-0.003391084227868971j)	(-0.001963969716383378+0.02757505173780447j)
45	MK	5	(0.020720405648933408-0.019060138522156683j)	(0.017988917433881695+0.03549026533185175j)
46	NL	5	(-0.006856242132893606-0.002870446926465515j)	(-0.02107283149099895-0.017607917043038553j)
47	OV	5	(0.030889528510331943-0.04228947316426579j)	(0.021949170659708698-0.011741058453765487j)
48	PT	5	(0.03493878387156163+0.05259710519867725j)	(-0.020687588177841682+0.04480900541696997j)
49	SC	5	(0.02820400730159827-0.02570433736769441j)	(-0.009314124791879083-0.016990922439045254j)
50	BR	6	(0.023952542477485083+0.003472894009703232j)	(-0.030327576634367883-0.032339564284363645j)
51	FD	6	(0.022083825892149564-0.00030521535216538237j)	(-0.010869065988861787+0.027411100346021462j)
52	HN	6	(0.0664623050244406+0.01878382095672436j)	(-0.0404263840492616+0.023609635919992874j)
53	KP	6	(0.01945844504202319+0.009365125583634028j)	(-0.01342882242113235-0.006545244682662063j)
54	LA	6	(0.023346733972339846-0.03176136939585982j)	(-0.001252789117394535+0.04134321488295758j)
55	MK	6	(0.015105125631630877-0.03950290846039346j)	(-0.006593832467032633+0.0355112095648131j)
56	NL	6	(0.004180410305695386-0.005523615725182208j)	(-0.044569101731743783-0.0058101439086663716j)
57	OV	6	(-0.013382739585350342-0.05385498245137476j)	(0.0006862669686453971-0.021630417533460525j)
58	PT	6	(0.06793479007157259+0.025762834231779275j)	(-0.017323127557067625+0.055851576284124946j)
59	SC	6	(0.03542510822512036-0.035722851417800426j)	(-0.00344021858330721-0.019390982146242807j)
60	BR	7	(0.04099203511753913-0.025327479194228272j)	(-0.0650537074049719-0.037798630584529085j)
61	FD	7	(0.034291582041953074-0.045357506471127323j)	(-0.0077458772504153265+0.035902674202728344j)
62	HN	7	(0.05846900476515301-0.0314618252653506j)	(-0.05497315674718193+0.030330654699194753j)
63	KP	7	(0.0328050833152551-0.025626558016052466j)	(-0.03324447395677637-0.0022962188860417166j)
64	LA	7	(-0.005898490980630201-0.056448748094647824j)	(0.005424650219671103+0.03851439215741925j)
65	MK	7	(-0.009753080930735515-0.05223693293092285j)	(-0.04106022546465015+0.03169123826472581j)
66	NL	7	(0.010089667743199878-0.02201940776052053j)	(-0.046146201300858156+0.012212775658334177j)
67	OV	7	(-0.037418693240779254-0.014151837383015464j)	(-0.027074191314077595-0.01690190109317707j)
68	PT	7	(0.07738254005136579-0.03328975871930157j)	(-0.008353216959156768+0.05314601023640077j)
69	SC	7	(0.029127789285187923-0.06675595675932466j)	(-0.011703091767486903-0.03337657438969716j)
70	BR	8	(0.03785131813969461-0.0485494580596581j)	(-0.08572508092112886-0.010978053088329907j)
71	FD	8	(0.004901341698454733-0.07998053600138702j)	(0.004719842780680015+0.02334734998831341j)
72	HN	8	(0.028763142980281972-0.04089093965573643j)	(-0.04344113471649981+0.03888502971417244j)
73	KP	8	(0.013530608916888778-0.05278455459656061j)	(-0.045791092836970686+0.012639386072697977j)
74	LA	8	(-0.03877233923952915-0.04645475190300725j)	(0.020197945614171573+0.018493952356244483j)
75	MK	8	(-0.026154767528406207-0.0480562964201554j)	(-0.06399807219333627+0.0393190179741367j)
76	NL	8	(0.0007615898274957863-0.03754634130804585j)	(-0.026353252903020517+0.013266492731213119j)
77	OV	8	(-0.004101698194358811+0.009841187316223285j)	(-0.04064582803770129+0.0054893121322233725j)
78	PT	8	(0.03826684728461396-0.05832871797168937j)	(0.00765266328205374+0.027803480524389j)
79	SC	8	(0.0073115538491849855-0.08963944254072326j)	(-0.03974186174625846-0.035186440750908106j)
