	antennas	IF	DRArr	DLArr
0	BR	1	(-6.680545057889639e-05+0.0014892959834720404j)	(0.010237470378523388+0.0006356914630041394j)
1	FD	1	(0.0008005379494842974+0.01624183855791471j)	(0.016761597256211652+0.010223277916095288j)
2	HN	1	(-0.013622095689916224-0.03742029295696056j)	(0.011039972811314186-0.023094417256633862j)
3	KP	1	(0.014643562476981538-0.001606464541563457j)	(-0.01792953992694305+0.012113996388428992j)
4	LA	1	(0.03980366681738058-0.011770825555533769j)	(-0.03201613190683885-0.01580171590369635j)
5	MK	1	(0.033713144762783774+0.0019085977042118084j)	(-0.0272143705994717+0.010086826435999157j)
6	NL	1	(0.006987073988121184+0.015148724650615132j)	(-0.00837474147007086+0.008635699159047388j)
7	OV	1	(-0.011220027355728277-0.0007563265306173798j)	(0.011991842644586505+0.0018151709150993672j)
8	PT	1	(-0.007036669806076213-0.005546484147044162j)	(0.015456606782710283-0.00039164580416187254j)
9	SC	1	(-0.008118520539031879+0.009701076609888896j)	(-0.0029697376519129816+0.01951526678705322j)
10	BR	2	(0.006435906203128155-0.004466327041312832j)	(0.0009663764807017165+0.004323868634260024j)
11	FD	2	(0.014412779986419388+0.018412828562871717j)	(0.0072513738138553635+0.003051135397356671j)
12	HN	2	(-0.021958616703403794-0.0358246901566528j)	(0.014278525184485233-0.01969586768234326j)
13	KP	2	(0.02005548079327704-0.0041172489426237885j)	(-0.019729361379838883+0.0055494120513725174j)
14	LA	2	(0.04576636793023884-0.018284693637987275j)	(-0.044558577846537196-0.029388561562295572j)
15	MK	2	(0.04034467784393453+0.01317881603585424j)	(-0.029313911997251682+0.0077874334437103366j)
16	NL	2	(0.019106793881033694+0.013644727920673824j)	(-0.010926138945366889-0.0016297846008775205j)
17	OV	2	(-0.00803391210898395+0.002325837777292832j)	(0.007499721048010285-0.0030883608927268057j)
18	PT	2	(-0.009946182816163027-0.00042895926461635316j)	(-0.00316211246918499-0.0106308221844153j)
19	SC	2	(-0.000680771123661897+0.011238872219771639j)	(-0.0033793477986859754+0.02136744644962556j)
20	BR	3	(0.00134475549717215-0.010069924768496451j)	(0.002167106256724756+0.009909562282302399j)
21	FD	3	(0.02243386833178981+0.004304729991397328j)	(0.004489258815179097+0.011436739249768353j)
22	HN	3	(-0.022181923186131193-0.02471013257491421j)	(0.018160468093751693-0.01874774553580867j)
23	KP	3	(0.018885371032043366-0.001774336471235104j)	(-0.025030592047689305+0.0050828863708866j)
24	LA	3	(0.0529864788723291-0.01765180401184253j)	(-0.05896910849106442-0.026303594123361435j)
25	MK	3	(0.04811798564217065+0.01359034292910115j)	(-0.034742667853171705+0.0031879033047106818j)
26	NL	3	(0.01880104360867155+0.009400920022884632j)	(-0.01899124589499605-0.0034288949268598476j)
27	OV	3	(-7.833169325256165e-05+0.005810188266827445j)	(0.0023382139907035552+0.0005946508633454367j)
28	PT	3	(-0.005180092985137589+0.005207775965414632j)	(0.007570976792405794+0.013638471518374193j)
29	SC	3	(0.003504421144053735+0.009515759084260292j)	(-0.002994131836727331+0.017332133766118397j)
30	BR	4	(-0.0022148975713593977-0.00480148570985094j)	(0.0070217475498023565+0.013356039127539814j)
31	FD	4	(0.012875139282818977-0.0062834471511559265j)	(-0.003295127861158042+0.011590229627297811j)
32	HN	4	(-0.005528098757642072-0.02087749468060512j)	(0.018323359275548814-0.02626847111448275j)
33	KP	4	(0.023825233270748727-0.0024022158052481716j)	(-0.03265330001941621+0.006536540458995337j)
34	LA	4	(0.05757261007499674-0.03079875749136927j)	(-0.07350923683469607-0.021279764923827025j)
35	MK	4	(0.05219132171302708+0.00432243951827052j)	(-0.042443972628824926+0.004843022659090095j)
36	NL	4	(0.02192016699347147+0.00864506526237244j)	(-0.02764546094049464-0.0008856123163093261j)
37	OV	4	(0.009246476684558119+0.0007090553203670748j)	(0.003667096348138917+0.0032337337590645702j)
38	PT	4	(0.007293784014612363+0.006056709503359955j)	(0.005635685354980453-0.004702596179573556j)
39	SC	4	(0.005604669960718532+0.007318052346098005j)	(-0.008775409942731594+0.014489224755720852j)
