	antennas	IF	DRArr	DLArr
0	BR	1	(0.0041804042444105955-0.002812030206630385j)	(0.0037917443960224107-0.0037572387989667677j)
1	FD	1	(0.0013263629712616284+0.016193405857780643j)	(0.014169991915361634+0.010508357167634026j)
2	HN	1	(-0.01460646734606258-0.040445478555218066j)	(0.013847284019485278-0.027967512878771528j)
3	KP	1	(0.015368294767583751-0.0017741399987608814j)	(-0.019320725914114184+0.011117869114700175j)
4	LA	1	(0.04057875565143831-0.014075702022732804j)	(-0.033399614267464614-0.016924489848322344j)
5	MK	1	(0.02826265063216248-0.0034235759816360093j)	(-0.03037065288699575+0.006044801486571552j)
6	NL	1	(0.008474756231474888+0.01260084240952607j)	(-0.01009250147158202+0.00430547193892268j)
7	OV	1	(-0.009683290042481515-0.0010952680649736553j)	(0.009896773085889396+0.00153470499288872j)
8	PT	1	(-0.007045981964569188-0.006065982747575685j)	(0.013603826344907402-0.002537657083183215j)
9	SC	1	(-0.0007191005535671888+0.007950325601522255j)	(-0.008342023316237254+0.01740855865077095j)
10	BR	2	(0.011600833727061008-0.008404466868941599j)	(-0.00598774892255819-0.0005085643643651588j)
11	FD	2	(0.016000137014701186+0.01787534647191738j)	(0.004338660793740413+0.002773896619217713j)
12	HN	2	(-0.023572651531258558-0.03914543812549268j)	(0.016849142721474406-0.0239794951256326j)
13	KP	2	(0.021004951550843864-0.004822140448226096j)	(-0.02162733534667581+0.004307434371153513j)
14	LA	2	(0.0464394280926639-0.02123175985232489j)	(-0.045751485843522365-0.031889431770655154j)
15	MK	2	(0.03274326647438557+0.00760267670577121j)	(-0.032943187933256145+0.003568427001858151j)
16	NL	2	(0.02073266928830044+0.009987758469501009j)	(-0.01264284461623352-0.005883895523302859j)
17	OV	2	(-0.006082256352797024+0.002121253643547307j)	(0.004844571749913002-0.003068386216455745j)
18	PT	2	(-0.00905397974927103-0.001191294553134533j)	(-0.005364327307825648-0.01304555888701509j)
19	SC	2	(0.006781183545861882+0.00928098220147246j)	(-0.006533182802512373+0.016690901446814174j)
20	BR	3	(0.007911148481573017-0.013368422625730762j)	(-0.004925739208575444+0.0056735956608103075j)
21	FD	3	(0.02482617958747398+0.003605039335161781j)	(-0.0007501023272612532+0.010812992730140613j)
22	HN	3	(-0.02219435397675031-0.027573069222163998j)	(0.01962374231425303-0.024317365208778804j)
23	KP	3	(0.021064427444638576-0.0020824846391692135j)	(-0.027998034460308817+0.003796785012142844j)
24	LA	3	(0.05446934851163434-0.02124247227336766j)	(-0.060865002017004184-0.02928545082936026j)
25	MK	3	(0.04079501809940417+0.006586072582653521j)	(-0.03761429676159041-6.498424837532035e-05j)
26	NL	3	(0.022096851735859156+0.006478075905005776j)	(-0.0212180634531527-0.008933297424905045j)
27	OV	3	(0.0027426806923199726+0.006288180825627387j)	(-0.0004935496848692788+0.0007613503466930889j)
28	PT	3	(-0.003949341242111731+0.004652632449910178j)	(0.004174901031490306+0.0116532851167417j)
29	SC	3	(0.010173820673263069+0.0076022068156374675j)	(-0.008749122786375213+0.013561521146235713j)
30	BR	4	(0.00441292574733301-0.01096963940798363j)	(0.00011108382117566327+0.005642719238533296j)
31	FD	4	(0.017562389562353016-0.013599333271262701j)	(-0.008242930909860625+0.009526731735704999j)
32	HN	4	(-0.008247320895982364-0.02735513362849451j)	(0.02291082319014184-0.03303761311075681j)
33	KP	4	(0.026708621063381413-0.005391051669678858j)	(-0.03626019780574373+0.0029108594575149743j)
34	LA	4	(0.05920137368989572-0.035825240568815385j)	(-0.07608249458406431-0.02627396447357903j)
35	MK	4	(0.04255666686727244+0.0006592202501099268j)	(-0.04604840556611421+0.0023961039485475262j)
36	NL	4	(0.023483299827699616+0.0031144392711248943j)	(-0.02904842745373057-0.007937965640715557j)
37	OV	4	(0.012617636169685495-0.001462428570758869j)	(-0.0006074618778826919+0.0011172388978560736j)
38	PT	4	(0.009083884870570354+0.00284121404838012j)	(0.0027606099124364097-0.008866646741358767j)
39	SC	4	(0.011305020104378612+0.004795797014167232j)	(0.00793581411724026+0.003970340127816116j)
